"time","M","Y","Z","I"
489,652.707,42.821,13.4207,343
490,669.336,42.9203,13.4345,343
491,682.503,43.0613,13.4719,340
492,675.452,43.1776,13.4914,343
493,663.707,43.1998,13.516,343
494,661.236,43.2026,13.523,343
495,664.413,43.2271,13.5182,343
496,659.172,43.2377,13.496,345
497,651.754,43.1582,13.4785,342
498,649.579,43.0844,13.4656,343
499,647.621,43.0048,13.4434,343
500,653.959,42.9404,13.4377,340
501,666.863,42.9716,13.4688,340
502,654.177,42.8997,13.5131,339
503,649.959,42.7694,13.5496,336
504,652.463,42.6575,13.5566,335
505,654.717,42.6102,13.5574,338
506,655.845,42.5881,13.5651,339
507,664.961,42.6309,13.5685,339
508,659.665,42.5826,13.5435,335
509,653.998,42.5009,13.5203,335
510,656.998,42.4232,13.4954,333
511,663.298,42.4468,13.4751,337
512,662.669,42.4763,13.4849,338
513,666.602,42.555,13.4624,340
514,663.842,42.6064,13.4215,340
515,667.657,42.6785,13.3864,340
516,668.392,42.7481,13.3715,340
517,660.053,42.7655,13.3646,341
518,656.147,42.7665,13.378,342
519,651.733,42.7369,13.3629,342
520,659.459,42.7639,13.3372,342
521,653.813,42.724,13.3128,340
522,664.932,42.7649,13.3203,340
523,678.539,42.8693,13.3295,338
524,675.485,42.9029,13.3542,335
525,659.236,42.8228,13.3703,335
526,650.013,42.701,13.393,336
527,650.712,42.5844,13.4148,335
528,643.24,42.4051,13.4203,333
529,652.716,42.3211,13.4206,334
530,649.545,42.1379,13.4113,327
531,648.49,41.9795,13.4198,328
532,647.541,41.8069,13.4072,326
533,642.187,41.6662,13.4201,330
534,631.968,41.5082,13.4528,333
535,634.472,41.3476,13.4634,330
536,634.024,41.1889,13.4382,329
537,636.322,41.0867,13.4,331
538,644.69,41.0267,13.3634,329
539,641.421,40.9269,13.3072,327
540,631.279,40.7584,13.2808,326
541,633.851,40.6127,13.2233,325
542,637.966,40.4973,13.1736,324
543,644.369,40.4238,13.1194,323
544,643.832,40.3423,13.0753,322
545,638.849,40.2614,13.0257,324
546,642.464,40.1882,12.9753,322
547,640.318,40.1087,12.9255,322
548,631.186,40.0022,12.8934,324
549,648.167,39.9936,12.8746,322
550,653.551,40.021,12.8433,322
551,650.296,40.0865,12.7904,327
552,650.066,40.1187,12.7447,325
553,645.359,40.1041,12.7085,324
554,653.723,40.146,12.6854,324
555,649.551,40.1312,12.6599,322
556,659.296,40.2067,12.6344,324
557,652.766,40.2439,12.6115,325
558,648.69,40.2503,12.5865,325
559,653.121,40.2977,12.5531,326
560,640.909,40.2595,12.5504,326
561,638.918,40.261,12.559,330
562,647.026,40.267,12.5796,326
563,652.523,40.3212,12.5897,327
564,661.071,40.4642,12.5851,330
565,653.464,40.5912,12.5982,334
566,659.218,40.7688,12.5936,336
567,662.596,41.0139,12.6173,341
568,668.336,41.2599,12.629,340
569,672.603,41.5477,12.631,343
570,663.842,41.7695,12.6459,345
571,672.158,42.0258,12.6339,345
572,672.442,42.2439,12.6343,344
573,687.098,42.5279,12.6362,343
574,694.888,42.8491,12.6532,344
575,687.499,43.1109,12.6981,346
576,692.55,43.4068,12.7379,348
577,696.195,43.7368,12.7937,351
578,676.975,43.8951,12.8706,351
579,669.578,43.9457,12.9478,348
580,669.22,44.0012,13.0381,349
581,673.398,44.0931,13.1077,350
582,662.758,44.0872,13.1881,349
583,657.682,44.0711,13.2566,351
584,644.114,43.9603,13.3457,351
